Year,Share.with.medical.debt.in.collections,Share.with.medical.debt.in.collections...Majority.White,Hospital.market.concentration..HHI.,Number.of.Closures.and.Mergers,Share.of.the.population.with.no.health.insurance.coverage,Share.of.non.elderly.adults.with.a.reported.disability,Average.household.income.in..2023,FIPS
2021,0.123,0.122,4484,0,0.067,0.169,90956,06033
2022,0.09,0.09,4738,0,0.065,0.17,87371,06033
2023,0.041,0.041,NA,NA,NA,NA,NA,06033
2011,0.253,0.246,1978,0,NA,NA,85905,06035
2012,0.247,0.237,2065,0,0.106,0.154,84855,06035
2013,0.26,0.256,2037,0,0.105,0.166,82597,06035
2014,0.271,0.26,2100,0,0.111,0.165,82730,06035
2015,0.275,0.272,2157,0,0.102,0.169,81455,06035
2016,0.233,0.221,2063,0,0.082,0.169,82221,06035
2017,0.196,0.181,2045,0,0.07,0.15,84218,06035
2018,0.206,0.198,2400,0,0.057,0.145,86271,06035
2019,0.202,0.205,2448,0,0.044,0.158,85470,06035
2020,0.201,0.188,2443,0,0.038,0.13,81527,06035
2021,0.204,0.2,2492,0,0.058,0.138,82171,06035
2022,0.163,0.162,2368,0,0.074,0.158,79748,06035
2023,0.093,0.089,NA,NA,NA,NA,NA,06035
2011,0.128,0.095,464,0,NA,NA,110583,06037
2012,0.131,0.097,473,0,0.222,0.07,108465,06037
2013,0.136,0.1,507,3,0.222,0.071,106489,06037
2014,0.139,0.103,509,0,0.209,0.071,105681,06037
2015,0.14,0.104,548,1,0.184,0.072,106626,06037
2016,0.127,0.093,537,1,0.159,0.073,108564,06037
2017,0.11,0.079,536,0,0.133,0.073,111696,06037
2018,0.101,0.073,545,2,0.108,0.072,114650,06037
2019,0.092,0.067,548,1,0.096,0.072,118150,06037
2020,0.087,0.064,551,2,0.092,0.072,121522,06037
2021,0.076,0.055,632,0,0.091,0.074,123130,06037
2022,0.065,0.047,609,1,0.09,0.078,124686,06037
2023,0.027,0.018,NA,NA,NA,NA,NA,06037
2011,0.178,0.149,2523,0,NA,NA,85105,06039
2012,0.182,0.166,2514,0,0.211,0.098,82148,06039
2013,0.169,0.175,2576,0,0.206,0.103,78792,06039
2014,0.168,0.166,3139,0,0.19,0.114,77380,06039
2015,0.156,0.168,3145,0,0.174,0.119,76617,06039
2016,0.148,0.169,3103,0,0.143,0.113,79099,06039
2017,0.138,0.166,2927,0,0.117,0.116,80950,06039
2018,0.126,0.146,2870,0,0.094,0.116,84472,06039
2019,0.103,0.107,2860,0,0.083,0.111,89222,06039
2020,0.096,0.107,2872,0,0.076,0.115,91389,06039
2021,0.092,0.095,3025,0,0.082,0.117,94209,06039
2022,0.086,0.085,2960,0,0.076,0.122,98665,06039
2023,0.037,0.035,NA,NA,NA,NA,NA,06039
2011,0.082,0.081,1754,0,NA,NA,177049,06041
2012,0.084,0.083,1714,0,0.094,0.06,177481,06041
2013,0.083,0.083,1704,0,0.089,0.062,180232,06041
2014,0.064,0.064,1862,0,0.083,0.064,182169,06041
2015,0.061,0.06,1932,0,0.075,0.062,188264,06041
2016,0.054,0.053,1977,0,0.064,0.061,196296,06041
2017,0.057,0.057,2017,0,0.052,0.062,201741,06041
2018,0.064,0.064,2133,0,0.04,0.06,204378,06041
2019,0.065,0.065,2137,0,0.035,0.061,209786,06041
2020,0.061,0.061,2178,0,0.032,0.057,213961,06041
2021,0.054,0.054,2172,0,0.035,0.06,219914,06041
2022,0.04,0.04,2051,0,0.037,0.062,224717,06041
2023,0.009,0.009,NA,NA,NA,NA,NA,06041
2011,0.15,0.15,2189,0,NA,NA,83518,06043
2012,0.164,0.164,2164,0,0.133,0.166,86517,06043
2013,0.156,0.156,2124,0,0.124,0.157,82073,06043
2014,0.153,0.153,2847,0,0.102,0.135,84713,06043
2015,0.167,0.167,2884,0,0.091,0.137,84358,06043
2016,0.161,0.161,2919,0,0.073,0.14,81801,06043
2017,0.138,0.138,2772,0,0.049,0.145,80655,06043
2018,0.129,0.129,2870,0,0.049,0.155,78376,06043
2019,0.108,0.108,2854,0,0.056,0.168,73568,06043
2020,0.116,0.116,2770,0,0.068,0.171,75728,06043
2021,0.104,0.104,2819,0,0.065,0.144,78773,06043
2022,0.075,0.075,2922,0,0.072,0.133,82702,06043
2023,0.039,0.039,NA,NA,NA,NA,NA,06043
2011,0.178,0.176,3439,0,NA,NA,78673,06045
2012,0.18,0.176,3723,0,0.188,0.143,75508,06045
2013,0.182,0.178,3606,0,0.185,0.14,75567,06045
2014,0.172,0.167,3714,0,0.164,0.147,75722,06045
2015,0.173,0.166,3801,0,0.146,0.146,76573,06045
2016,0.172,0.167,3737,0,0.126,0.145,78087,06045
2017,0.179,0.171,3987,0,0.112,0.144,83254,06045
2018,0.193,0.188,3960,0,0.093,0.148,81712,06045
2019,0.155,0.147,4739,0,0.086,0.153,84201,06045
2020,0.156,0.151,3948,0,0.093,0.16,87242,06045
2021,0.126,0.122,4430,0,0.097,0.174,88553,06045
2022,0.105,0.105,4682,0,0.092,0.165,90446,06045
2023,0.039,0.039,NA,NA,NA,NA,NA,06045
2011,0.244,0.24,2174,0,NA,NA,81320,06047
2012,0.237,0.226,2148,0,0.19,0.145,79922,06047
2013,0.236,0.23,2103,0,0.192,0.154,77720,06047
2014,0.232,0.24,2833,0,0.177,0.155,77056,06047
2015,0.211,0.21,2872,0,0.159,0.151,75075,06047
2016,0.209,0.215,2910,0,0.13,0.144,77629,06047
2017,0.188,0.19,2765,0,0.111,0.137,80110,06047
2018,0.175,0.182,2870,0,0.087,0.119,84654,06047
2019,0.143,0.149,2853,0,0.083,0.111,88648,06047
2020,0.125,0.112,2765,0,0.08,0.114,89984,06047
2021,0.127,0.12,2809,0,0.088,0.112,89500,06047
2022,0.109,0.093,2920,0,0.09,0.109,89620,06047
2023,0.041,0.035,NA,NA,NA,NA,NA,06047
2011,0.206,0.209,2099,0,NA,NA,67126,06049
2012,0.223,0.222,2281,0,0.168,0.218,65469,06049
2013,0.186,0.188,2276,0,0.182,0.19,63783,06049
2014,0.19,0.193,2321,0,0.169,0.156,65646,06049
2015,0.148,0.15,2365,0,0.154,0.194,62794,06049
2016,0.181,0.183,2288,0,0.144,0.162,64066,06049
2017,0.191,0.193,2258,0,0.16,0.145,63009,06049
2018,0.168,0.17,2477,0,0.123,0.133,65678,06049
2019,0.137,0.138,2499,0,0.125,0.117,64001,06049
2020,0.155,0.157,2503,0,0.107,0.089,69624,06049
2021,0.156,0.151,2541,0,0.12,0.105,69489,06049
2022,0.15,0.151,2537,0,0.087,0.085,70883,06049
2023,0.08,0.082,NA,NA,NA,NA,NA,06049
2011,0.246,0.249,1943,0,NA,NA,94270,06051
2012,0.24,0.242,2025,0,0.208,0.085,90970,06051
2013,0.213,0.215,1996,0,0.207,0.057,89747,06051
2014,0.192,0.193,2065,0,0.228,0.068,89573,06051
2015,0.221,0.223,2120,0,0.237,0.038,91207,06051
2016,0.183,0.187,2019,0,0.199,0.037,94056,06051
2017,0.126,0.129,2001,0,0.168,0.047,92477,06051
2018,0.13,0.133,2373,0,0.166,0.048,97085,06051
2019,0.077,0.073,2423,0,0.161,0.044,100624,06051
2020,0.077,0.07,2418,0,0.126,0.048,102399,06051
2021,0.06,0.052,2463,0,0.125,0.064,98770,06051
2022,0.05,0.044,2336,0,0.147,0.059,104904,06051
2023,0.034,0.029,NA,NA,NA,NA,NA,06051
2011,0.198,0.095,3239,0,NA,NA,109278,06053
2012,0.194,0.1,3023,0,0.211,0.067,106070,06053
2013,0.196,0.091,2979,0,0.216,0.064,103824,06053
2014,0.192,0.091,3025,0,0.209,0.065,103578,06053
2015,0.197,0.092,3028,0,0.187,0.068,104295,06053
2016,0.179,0.081,3017,0,0.161,0.07,106385,06053
2017,0.193,0.095,3094,0,0.137,0.068,109482,06053
2018,0.19,0.098,3078,0,0.112,0.066,113621,06053
2019,0.167,0.081,3116,0,0.098,0.066,116146,06053
2020,0.157,0.075,3180,0,0.094,0.062,123012,06053
2021,0.141,0.075,3369,0,0.099,0.061,124025,06053
2022,0.12,0.056,3401,0,0.099,0.066,128485,06053
2023,0.062,0.032,NA,NA,NA,NA,NA,06053
2011,0.1,0.104,3195,0,NA,NA,128543,06055
2012,0.117,0.117,3438,0,0.142,0.075,126511,06055
2013,0.121,0.123,3323,0,0.145,0.078,123540,06055
2014,0.123,0.123,3437,0,0.139,0.082,122858,06055
2015,0.128,0.131,3528,0,0.117,0.079,128375,06055
2016,0.124,0.127,3479,0,0.091,0.083,132320,06055
2017,0.101,0.105,3717,0,0.074,0.086,138189,06055
2018,0.107,0.115,3718,0,0.065,0.088,141877,06055
2019,0.098,0.103,4396,0,0.059,0.088,147133,06055
2020,0.081,0.084,3681,0,0.059,0.091,152539,06055
2021,0.074,0.077,4096,0,0.06,0.087,153147,06055
2022,0.066,0.068,4289,0,0.061,0.083,152935,06055
2023,0.026,0.026,NA,NA,NA,NA,NA,06055
2011,0.158,0.155,2096,0,NA,NA,100901,06057
2012,0.172,0.167,2017,0,0.146,0.097,99029,06057
2013,0.169,0.165,2035,0,0.148,0.104,99176,06057
2014,0.155,0.152,1989,0,0.145,0.108,97486,06057
2015,0.155,0.152,2074,0,0.13,0.111,97756,06057
2016,0.147,0.143,2002,0,0.112,0.118,99538,06057
2017,0.107,0.105,1994,0,0.097,0.122,103941,06057
2018,0.095,0.092,2142,0,0.078,0.117,105323,06057
2019,0.084,0.081,2145,0,0.065,0.111,109212,06057
2020,0.078,0.074,2148,0,0.057,0.108,113311,06057
2021,0.074,0.072,2162,0,0.055,0.107,116838,06057
2022,0.064,0.062,2082,0,0.056,0.1,115089,06057
2023,0.028,0.026,NA,NA,NA,NA,NA,06057
2011,0.127,0.111,1254,0,NA,NA,137332,06059
2012,0.129,0.115,1275,0,0.172,0.053,134520,06059
2013,0.127,0.114,1253,0,0.173,0.055,132280,06059
2014,0.132,0.12,1236,0,0.161,0.057,131953,06059
2015,0.133,0.119,1225,0,0.144,0.058,133380,06059
2016,0.124,0.11,1722,0,0.123,0.059,135781,06059
2017,0.105,0.097,1755,0,0.104,0.059,138945,06059
2018,0.1,0.096,1833,0,0.084,0.058,142207,06059
2019,0.092,0.085,1885,0,0.076,0.057,145986,06059
2020,0.078,0.074,1849,1,0.071,0.059,149585,06059
2021,0.074,0.066,1232,0,0.071,0.06,151603,06059
2022,0.066,0.058,1233,0,0.069,0.062,153240,06059
2023,0.025,0.021,NA,NA,NA,NA,NA,06059
2011,0.073,0.073,2122,0,NA,NA,124961,06061
2012,0.077,0.077,2016,0,0.092,0.08,121100,06061
2013,0.076,0.076,2041,0,0.099,0.08,119847,06061
2014,0.076,0.076,1976,0,0.097,0.078,120467,06061
2015,0.073,0.073,2066,0,0.089,0.078,121608,06061
2016,0.067,0.067,1999,0,0.077,0.078,126739,06061
2017,0.059,0.059,1992,0,0.061,0.078,129889,06061
2018,0.065,0.065,2104,0,0.047,0.074,132289,06061
2019,0.059,0.059,2099,0,0.04,0.072,137112,06061
2020,0.058,0.059,2103,0,0.037,0.068,142149,06061
2021,0.056,0.056,2112,0,0.034,0.075,143007,06061
2022,0.05,0.051,2040,0,0.033,0.08,146495,06061
2023,0.018,0.018,NA,NA,NA,NA,NA,06061
2011,0.203,0.203,2178,0,NA,NA,79585,06063
2012,0.226,0.226,2238,1,0.187,0.153,79372,06063
2013,0.202,0.202,2229,0,0.183,0.166,81545,06063
2014,0.192,0.192,2274,0,0.152,0.191,80247,06063
2015,0.196,0.196,2321,0,0.124,0.197,85635,06063
2016,0.176,0.176,2266,0,0.103,0.177,84200,06063
2017,0.158,0.158,2251,0,0.066,0.18,85434,06063
2018,0.149,0.149,2791,0,0.035,0.16,86940,06063
2019,0.158,0.158,2805,0,0.031,0.137,91804,06063
2020,0.158,0.158,2812,0,0.032,0.133,89642,06063
2021,0.127,0.127,2833,0,0.044,0.131,91055,06063
2022,0.128,0.128,2739,0,0.05,0.126,99889,06063
2023,0.07,0.07,NA,NA,NA,NA,NA,06063
2011,0.194,0.149,1383,0,NA,NA,102823,06065
2012,0.196,0.154,1401,0,0.2,0.089,98648,06065
2013,0.196,0.155,1432,0,0.202,0.09,96466,06065
2014,0.201,0.159,1572,0,0.192,0.091,95324,06065
2015,0.193,0.155,1605,0,0.169,0.093,95418,06065
2016,0.184,0.154,1599,0,0.147,0.094,96783,06065
2017,0.138,0.118,1602,0,0.123,0.095,99516,06065
2018,0.122,0.104,1620,0,0.1,0.092,102403,06065
2019,0.109,0.091,1613,0,0.088,0.091,105925,06065
2020,0.108,0.094,1628,0,0.085,0.089,110153,06065
2021,0.095,0.085,1585,0,0.083,0.089,112453,06065
2022,0.077,0.066,1635,0,0.081,0.09,114549,06065
2023,0.035,0.029,NA,NA,NA,NA,NA,06065
2011,0.114,0.113,2128,0,NA,NA,99089,06067
2012,0.129,0.128,2016,0,0.139,0.113,96288,06067
2013,0.131,0.128,2043,0,0.146,0.11,94436,06067
2014,0.13,0.129,1973,0,0.137,0.112,94544,06067
2015,0.125,0.125,2065,0,0.121,0.108,95337,06067
2016,0.114,0.115,1999,0,0.104,0.107,97536,06067
2017,0.115,0.115,1992,0,0.084,0.105,100323,06067
2018,0.115,0.112,2094,0,0.063,0.1,103493,06067
2019,0.102,0.1,2087,0,0.055,0.095,105934,06067
2020,0.092,0.091,2092,0,0.055,0.096,109523,06067
2021,0.089,0.088,2100,0,0.054,0.096,111482,06067
2022,0.084,0.079,2030,0,0.052,0.099,113083,06067
2023,0.034,0.031,NA,NA,NA,NA,NA,06067
2011,0.233,NA,2167,0,NA,NA,111564,06069
2012,0.226,0.189,2100,0,0.163,0.073,107216,06069
2013,0.235,0.218,2135,0,0.158,0.074,105919,06069
2014,0.232,0.207,2134,0,0.148,0.069,107047,06069
2015,0.227,0.169,2154,0,0.13,0.064,112374,06069
2016,0.197,0.111,2213,0,0.114,0.07,113891,06069
2017,0.193,0.113,2165,0,0.096,0.073,120741,06069
2018,0.195,0.143,2112,0,0.074,0.077,122626,06069
2019,0.153,0.091,2130,0,0.075,0.073,127055,06069
2020,0.146,0.109,2107,0,0.065,0.084,127419,06069
2021,0.143,0.082,2118,0,0.064,0.081,133593,06069
2022,0.126,0.083,2209,0,0.062,0.081,135173,06069
2023,0.064,0.02,NA,NA,NA,NA,NA,06069
2011,0.183,0.2,996,0,NA,NA,95876,06071
2012,0.183,0.199,984,0,0.204,0.098,92882,06071
2013,0.183,0.199,1029,0,0.202,0.099,90369,06071
2014,0.189,0.201,1123,0,0.191,0.096,89289,06071
2015,0.183,0.192,1149,0,0.165,0.095,88786,06071
2016,0.172,0.182,1053,0,0.141,0.094,89793,06071
2017,0.148,0.166,1043,0,0.116,0.095,92118,06071
2018,0.137,0.154,1068,0,0.094,0.092,94133,06071
2019,0.124,0.131,1042,0,0.084,0.091,96994,06071
2020,0.112,0.117,1058,0,0.083,0.094,100457,06071
2021,0.105,0.106,1104,0,0.085,0.095,102756,06071
2022,0.092,0.093,1178,0,0.086,0.094,104197,06071
2023,0.038,0.037,NA,NA,NA,NA,NA,06071
2011,0.138,0.12,1318,0,NA,NA,115071,06073
2012,0.145,0.126,1373,0,0.171,0.069,112346,06073
2013,0.146,0.124,1278,1,0.168,0.07,111032,06073
2014,0.15,0.127,1279,0,0.159,0.069,111226,06073
2015,0.148,0.125,1371,0,0.141,0.071,111949,06073
2016,0.143,0.12,1330,0,0.122,0.072,115130,06073
2017,0.123,0.106,1344,1,0.104,0.072,119525,06073
2018,0.121,0.105,1323,0,0.087,0.072,122924,06073
2019,0.109,0.095,1334,0,0.078,0.072,127049,06073
2020,0.101,0.089,1357,0,0.076,0.073,130966,06073
2021,0.096,0.083,1362,0,0.075,0.074,133223,06073
2022,0.085,0.073,1357,0,0.073,0.078,134554,06073
2023,0.03,0.024,NA,NA,NA,NA,NA,06073
2011,0.059,0.06,1747,0,NA,NA,143252,06075
2012,0.06,0.06,1709,0,0.113,0.069,142693,06075
2013,0.056,0.054,1695,0,0.111,0.069,144149,06075
2014,0.058,0.055,1852,0,0.1,0.068,146643,06075
2015,0.048,0.046,1923,0,0.085,0.068,153505,06075
2016,0.047,0.045,1969,0,0.069,0.069,162027,06075
2017,0.041,0.042,2015,0,0.055,0.068,171247,06075
2018,0.043,0.042,2135,0,0.044,0.066,181123,06075
2019,0.036,0.029,2140,0,0.037,0.063,191166,06075
2020,0.037,0.029,2168,0,0.036,0.063,197392,06075
2021,0.036,0.031,2162,0,0.036,0.063,200993,06075
2022,0.032,0.028,2039,0,0.036,0.069,205534,06075
2023,0.012,0.009,NA,NA,NA,NA,NA,06075
2011,0.16,0.109,2087,0,NA,NA,96288,06077
2012,0.161,0.108,2137,0,0.168,0.106,93970,06077
2013,0.17,0.111,2151,0,0.171,0.107,92126,06077
2014,0.164,0.103,2092,0,0.161,0.105,90833,06077
2015,0.144,0.096,2089,0,0.14,0.106,90658,06077
2016,0.141,0.098,2088,0,0.117,0.108,92808,06077
2017,0.164,0.106,2081,0,0.097,0.11,95531,06077
2018,0.151,0.111,2053,0,0.075,0.11,98649,06077
2019,0.118,0.091,2193,0,0.064,0.111,102605,06077
2020,0.107,0.086,2203,0,0.063,0.108,107105,06077
2021,0.092,0.072,3035,0,0.064,0.107,109275,06077
2022,0.08,0.06,3262,0,0.065,0.103,111476,06077
2023,0.032,0.027,NA,NA,NA,NA,NA,06077
2011,0.153,0.148,5047,0,NA,NA,104482,06079
2012,0.16,0.154,5019,0,0.144,0.081,102932,06079
2013,0.164,0.158,5053,0,0.138,0.075,100771,06079
2014,0.16,0.155,5091,1,0.137,0.075,101334,06079
2015,0.152,0.148,5032,0,0.119,0.075,103365,06079
2016,0.15,0.146,5564,0,0.101,0.073,106321,06079
2017,0.128,0.125,3832,0,0.086,0.075,109307,06079
2018,0.095,0.093,3816,0,0.075,0.078,112859,06079
2019,0.071,0.071,3772,0,0.06,0.08,114650,06079
2020,0.061,0.061,5350,0,0.06,0.082,117783,06079
2021,0.059,0.058,5391,0,0.059,0.088,120447,06079
2022,0.05,0.05,5045,0,0.059,0.093,126148,06079
2023,0.023,0.023,NA,NA,NA,NA,NA,06079
2011,0.053,0.045,2107,0,NA,NA,167226,06081
2012,0.059,0.048,2258,0,0.11,0.051,165314,06081
2013,0.066,0.054,2274,0,0.107,0.051,164974,06081
2014,0.069,0.053,2288,0,0.102,0.053,168684,06081
2015,0.066,0.051,2330,0,0.088,0.054,173720,06081
2016,0.061,0.049,2384,0,0.072,0.054,179161,06081
2017,0.057,0.046,2431,0,0.058,0.055,188280,06081
2018,0.057,0.047,2565,0,0.048,0.053,197352,06081
2019,0.051,0.043,2641,1,0.042,0.049,207445,06081
2020,0.047,0.036,2723,0,0.038,0.049,214457,06081
2021,0.047,0.034,2768,0,0.038,0.049,220896,06081
2022,0.041,0.031,2852,0,0.038,0.054,225603,06081
2023,0.016,0.011,NA,NA,NA,NA,NA,06081
2011,0.169,0.12,4183,0,NA,NA,117497,06083
2012,0.173,0.125,4310,0,0.181,0.08,115374,06083
2013,0.179,0.13,4398,0,0.184,0.075,115402,06083
2014,0.181,0.135,4323,0,0.174,0.074,115253,06083
2015,0.175,0.134,4230,0,0.158,0.07,115576,06083
2016,0.171,0.129,4192,0,0.136,0.071,116584,06083
2017,0.145,0.11,4149,0,0.12,0.07,120609,06083
2018,0.118,0.087,4163,0,0.106,0.073,122678,06083
2019,0.09,0.066,4265,0,0.1,0.074,126836,06083
2020,0.07,0.06,4696,0,0.099,0.077,131542,06083
2021,0.063,0.053,4223,0,0.101,0.08,135154,06083
2022,0.054,0.042,4187,0,0.096,0.086,137164,06083
2023,0.017,0.012,NA,NA,NA,NA,NA,06083
2011,0.054,0.041,2055,0,NA,NA,158111,06085
2012,0.06,0.048,2024,1,0.114,0.054,157420,06085
2013,0.057,0.05,2077,0,0.115,0.052,157897,06085
2014,0.056,0.047,2042,0,0.105,0.052,160260,06085
2015,0.045,0.042,2044,0,0.091,0.052,164866,06085
2016,0.045,0.039,2098,0,0.077,0.052,171088,06085
2017,0.041,0.035,2058,0,0.062,0.052,177997,06085
2018,0.041,0.035,2009,0,0.048,0.052,187091,06085
2019,0.04,0.031,2025,2,0.043,0.053,196608,06085
2020,0.038,0.028,2015,0,0.042,0.052,205242,06085
2021,0.038,0.029,2026,0,0.041,0.054,212924,06085
2022,0.033,0.026,2114,0,0.04,0.056,219007,06085
2023,0.012,0.009,NA,NA,NA,NA,NA,06085
2011,0.14,0.125,5673,0,NA,NA,120934,06087
2012,0.147,0.134,4721,0,0.145,0.068,118698,06087
2013,0.144,0.13,4136,0,0.149,0.068,116117,06087
2014,0.137,0.121,5207,0,0.139,0.069,116958,06087
2015,0.123,0.108,5904,0,0.119,0.074,118251,06087
2016,0.091,0.087,6181,0,0.102,0.08,122125,06087
2017,0.091,0.085,6015,0,0.083,0.085,126084,06087
2018,0.086,0.08,6068,0,0.062,0.091,132436,06087
2019,0.068,0.065,6260,0,0.051,0.098,137377,06087
2020,0.066,0.062,5913,0,0.052,0.09,145621,06087
2021,0.064,0.057,5888,0,0.054,0.089,149754,06087
2022,0.057,0.05,6112,0,0.054,0.089,152564,06087
2023,0.014,0.013,NA,NA,NA,NA,NA,06087
2011,0.185,0.184,2578,0,NA,NA,79820,06089
2012,0.19,0.19,2806,0,0.163,0.162,78430,06089
2013,0.197,0.197,2776,0,0.158,0.161,77257,06089
2014,0.202,0.202,2729,0,0.151,0.164,76011,06089
2015,0.2,0.2,2841,0,0.137,0.161,76800,06089
2016,0.194,0.194,2869,0,0.116,0.159,78340,06089
2017,0.158,0.158,2832,0,0.094,0.153,80804,06089
2018,0.161,0.16,2618,0,0.075,0.153,83885,06089
2019,0.138,0.138,2655,0,0.065,0.157,87499,06089
2020,0.137,0.137,2642,0,0.062,0.152,90849,06089
2021,0.123,0.123,2799,0,0.068,0.153,94698,06089
2022,0.109,0.109,2718,0,0.066,0.151,95047,06089
2023,0.024,0.024,NA,NA,NA,NA,NA,06089
2011,NA,NA,1995,0,NA,NA,76975,06091
2012,NA,NA,2022,0,0.201,0.139,70698,06091
2013,NA,NA,2009,0,0.206,0.192,73210,06091
2014,NA,NA,2039,0,0.191,0.145,80403,06091
2015,NA,NA,2104,0,0.122,0.189,84768,06091
2016,NA,NA,2013,0,0.081,0.189,88289,06091
2017,NA,NA,1998,0,0.094,0.148,87554,06091
2018,NA,NA,2293,0,0.102,0.124,81863,06091
2019,NA,NA,2327,0,0.088,0.164,88848,06091
2020,0.106,0.106,2325,0,0.074,0.156,85854,06091
2021,0.153,0.153,2360,0,0.155,0.129,89911,06091
2022,0.12,0.12,2248,0,0.109,0.135,92877,06091
2023,0.06,0.06,NA,NA,NA,NA,NA,06091
2011,0.164,0.165,2540,0,NA,NA,67894,06093
2012,0.166,0.166,2942,0,0.154,0.169,66681,06093
2013,0.183,0.183,2981,0,0.149,0.171,65958,06093
2014,0.179,0.179,2955,0,0.142,0.182,64938,06093
2015,0.183,0.18,2993,0,0.124,0.188,65423,06093
2016,0.158,0.157,2990,0,0.099,0.19,67277,06093
2017,0.143,0.139,2932,0,0.083,0.178,68769,06093
2018,0.147,0.144,2731,0,0.07,0.17,76699,06093
2019,0.123,0.122,2695,0,0.059,0.164,76577,06093
2020,0.112,0.108,2715,0,0.064,0.163,77530,06093
2021,0.112,0.111,2763,0,0.065,0.154,76453,06093
2022,0.107,0.107,3006,0,0.071,0.148,79515,06093
2023,0.037,0.037,NA,NA,NA,NA,NA,06093
2011,0.142,0.105,2051,0,NA,NA,114602,06095
2012,0.139,0.109,2083,0,0.12,0.089,111418,06095
2013,0.132,0.107,2153,0,0.129,0.088,108524,06095
2014,0.14,0.113,2154,0,0.121,0.092,107435,06095
2015,0.145,0.114,2282,0,0.106,0.097,107276,06095
2016,0.141,0.111,2299,1,0.092,0.1,109619,06095
2017,0.148,0.119,2346,0,0.074,0.103,113085,06095
2018,0.148,0.12,2329,0,0.056,0.102,116525,06095
2019,0.129,0.106,2260,0,0.047,0.096,120187,06095
2020,0.109,0.087,2337,0,0.05,0.094,123372,06095
2021,0.105,0.088,2336,0,0.048,0.095,124941,06095
2022,0.093,0.071,2372,0,0.049,0.094,126286,06095
2023,0.038,0.03,NA,NA,NA,NA,NA,06095
2011,0.142,0.135,2502,0,NA,NA,113801,06097
2012,0.128,0.124,2434,0,0.14,0.081,111350,06097
2013,0.124,0.12,2752,0,0.141,0.081,109639,06097
2014,0.119,0.113,2904,1,0.133,0.086,109770,06097
2015,0.1,0.095,2818,0,0.116,0.093,112612,06097
2016,0.097,0.092,2835,0,0.101,0.096,115854,06097
2017,0.098,0.095,2486,0,0.084,0.098,120175,06097
2018,0.098,0.096,2299,0,0.069,0.098,124357,06097
2019,0.082,0.08,2317,0,0.061,0.094,128920,06097
2020,0.077,0.075,3213,1,0.06,0.09,133115,06097
2021,0.075,0.072,3301,0,0.059,0.088,136295,06097
2022,0.068,0.066,3488,0,0.056,0.088,138599,06097
2023,0.022,0.022,NA,NA,NA,NA,NA,06097
2011,0.198,0.163,2174,0,NA,NA,89070,06099
2012,0.197,0.168,2148,0,0.174,0.113,87087,06099
2013,0.206,0.171,2103,0,0.178,0.114,85180,06099
2014,0.208,0.177,2833,0,0.165,0.114,84110,06099
2015,0.175,0.141,2872,0,0.143,0.117,84780,06099
2016,0.169,0.136,2910,0,0.115,0.114,87463,06099
2017,0.158,0.135,2765,0,0.092,0.114,89983,06099
2018,0.133,0.118,2870,0,0.065,0.115,91930,06099
2019,0.119,0.111,2853,0,0.057,0.112,94427,06099
2020,0.107,0.102,2765,0,0.056,0.111,96974,06099
2021,0.101,0.096,2809,0,0.061,0.11,100087,06099
2022,0.093,0.088,2920,0,0.061,0.108,101418,06099
2023,0.035,0.033,NA,NA,NA,NA,NA,06099
2011,0.172,0.1,2128,0,NA,NA,87898,06101
2012,0.189,0.141,2016,0,0.188,0.121,87677,06101
2013,0.182,0.147,2043,0,0.189,0.114,89916,06101
2014,0.17,0.128,1973,0,0.173,0.113,89590,06101
2015,0.163,0.136,2065,0,0.151,0.112,89010,06101
2016,0.136,0.105,1999,0,0.132,0.107,90275,06101
2017,0.162,0.15,1992,0,0.118,0.112,89877,06101
2018,0.155,0.138,2094,0,0.096,0.114,91876,06101
2019,0.118,0.097,2087,0,0.08,0.114,94666,06101
2020,0.106,0.099,2092,0,0.068,0.103,102076,06101
2021,0.106,0.069,2100,0,0.066,0.112,103261,06101
2022,0.082,0.04,2030,0,0.062,0.118,105139,06101
2023,0.042,0.018,NA,NA,NA,NA,NA,06101
2011,0.221,0.221,2700,0,NA,NA,72124,06103
2012,0.231,0.231,2736,0,0.176,0.18,69879,06103
2013,0.236,0.236,2765,0,0.169,0.173,70661,06103
2014,0.234,0.234,2750,0,0.149,0.185,70908,06103
2015,0.229,0.229,2789,0,0.132,0.188,70991,06103
2016,0.199,0.199,2836,0,0.108,0.196,70482,06103
2017,0.178,0.178,2826,0,0.088,0.2,73009,06103
2018,0.178,0.178,3608,0,0.073,0.191,71518,06103
2019,0.168,0.168,3553,0,0.063,0.171,73821,06103
2020,0.157,0.157,3581,0,0.057,0.165,87401,06103
2021,0.149,0.149,3571,0,0.065,0.171,88990,06103
2022,0.132,0.132,3544,0,0.066,0.167,91078,06103
2023,0.03,0.03,NA,NA,NA,NA,NA,06103
2011,0.169,0.169,2588,0,NA,NA,70278,06105
2012,0.178,0.178,2832,0,0.222,0.208,68721,06105
2013,0.206,0.206,2806,0,0.216,0.208,67097,06105
2014,0.206,0.206,2763,0,0.206,0.208,67867,06105
2015,0.211,0.211,2869,0,0.184,0.203,67016,06105
2016,0.195,0.195,2892,0,0.164,0.192,63931,06105
2017,0.187,0.187,2859,0,0.141,0.18,64875,06105
2018,0.161,0.161,2648,0,0.113,0.166,66564,06105
